# n_neighbors,slab_index,site_index,metal_index,energy
2,103,1,3,-0.806638
3,103,1,3,-0.770914
3,103,3,5,-0.759392
1,103,4,3,-0.629045
2,103,7,3,-0.685085
1,103,6,4,-0.797715
3,103,7,3,-0.818289
1,103,8,3,-0.579401
3,104,0,2,-1.528987
1,104,1,1,-0.320152
1,104,2,5,-0.800003
1,104,3,5,-0.769469
1,104,4,2,-0.754258
2,104,7,5,-1.476147
3,104,6,2,-1.484494
3,104,7,5,-1.524803
3,104,7,5,-1.450402
1,105,0,2,-0.541866
3,105,0,2,-1.208341
1,105,2,1,-0.191503
3,105,3,2,-1.030034
1,105,4,4,-0.821779
3,105,5,2,-1.159590
1,105,6,2,-0.319436
1,105,7,1,-0.031664
1,105,8,4,-0.743015
1,106,0,4,-0.602870
1,106,1,1,0.046965
1,106,2,3,-0.324886
1,106,3,1,0.059789
1,106,4,1,-0.071829
1,106,5,3,-0.318319
1,106,6,4,-0.578609
1,106,7,4,-0.628813
1,106,8,1,-0.106251
1,107,0,4,-0.634735
1,107,1,0,-0.102279
3,107,2,2,-1.021710
2,107,3,2,-0.750488
1,107,4,1,-0.324008
1,107,5,4,-0.591717
1,107,6,1,-0.133498
1,107,7,4,-0.550150
1,107,8,2,-0.398830
1,108,0,4,-0.660136
3,108,1,2,-1.280525
1,108,2,4,-0.639227
3,108,3,2,-1.490949
1,108,4,5,-0.931374
2,108,5,5,-1.302852
2,108,6,5,-1.614577
2,108,6,5,-1.658655
3,108,5,5,-1.484696
3,109,0,0,-1.341877
1,109,1,4,-0.662492
2,109,2,5,-1.292727
3,109,3,2,-0.946237
3,109,4,5,-1.482495
3,109,4,5,-1.510550
1,109,6,4,-0.748374
3,109,7,5,-1.073659
1,109,8,4,-0.677857
